"filename", "language", "JavaScript JSX", "PostCSS", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\hites\OneDrive\Desktop\prj\src\components\ProductCard.jsx", "JavaScript JSX", 66, 0, 0, 0, 0, 0, 3, 69
"c:\Users\hites\OneDrive\Desktop\prj\src\components\QuantityControl.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\hites\OneDrive\Desktop\prj\src\components\Stepper.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\hites\OneDrive\Desktop\prj\src\components\TopBar.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\hites\OneDrive\Desktop\prj\src\components\TrustBadges.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\hites\OneDrive\Desktop\prj\src\context\AdminContext.jsx", "JavaScript JSX", 238, 0, 0, 0, 0, 5, 27, 270
"c:\Users\hites\OneDrive\Desktop\prj\src\context\AppContext.jsx", "JavaScript JSX", 252, 0, 0, 0, 0, 12, 24, 288
"c:\Users\hites\OneDrive\Desktop\prj\src\context\CartContext.jsx", "JavaScript JSX", 84, 0, 0, 0, 0, 2, 15, 101
"c:\Users\hites\OneDrive\Desktop\prj\src\data\constants.js", "JavaScript", 0, 0, 73, 0, 0, 0, 8, 81
"c:\Users\hites\OneDrive\Desktop\prj\src\index.css", "PostCSS", 0, 1273, 0, 0, 0, 44, 69, 1386
"c:\Users\hites\OneDrive\Desktop\prj\src\main.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\AdminDashboard.jsx", "JavaScript JSX", 80, 0, 0, 0, 0, 0, 9, 89
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\AdminLoginPage.jsx", "JavaScript JSX", 75, 0, 0, 0, 0, 0, 10, 85
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\AdminOrders.jsx", "JavaScript JSX", 384, 0, 0, 0, 0, 11, 31, 426
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\AdminProducts.jsx", "JavaScript JSX", 501, 0, 0, 0, 0, 3, 27, 531
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\AdminUsers.jsx", "JavaScript JSX", 129, 0, 0, 0, 0, 0, 11, 140
